"country","issue_date","alert_title","alert_url","raw_place_name","start_issue_date"
"Bolivia",2025-08-27,"Tarija Health Department confirms cases of leishmaniasis and reports ...",NA,"Bolivia",969
"Bolivia",2023-09-03,"Bolivia: Decreasing trend in whooping cough cases seen after ... - ...",NA,"Bolivia",245
"Bolivia",2023-08-20,"Whooping cough in Bolivia: Health officials urge vaccination of ... - ...",NA,"Bolivia",231
"Bolivia",2023-01-26,"Bolivia reports 255 pertussis cases, Dengue fever update - Outbreak ...",NA,"Bolivia",25
"United Kingdom",2025-08-28,"Laboratory confirmed cases of pertussis in England: April to June ...",NA,"England, United Kingdom",970
"United Kingdom",2025-03-03,"NHS England to commission whooping cough vaccination service through ...",NA,"England, United Kingdom",792
"United Kingdom",2024-08-13,"More than 10,000 whooping cough cases reported in first six months of ...",NA,"England, United Kingdom",590
"United Kingdom",2024-08-08,"Whooping cough surges in England, triggering vaccination drive - ...",NA,"England, United Kingdom",585
"United Kingdom",2024-07-25,"Greater Manchester whooping cough vaccine plea as cases surge - BBC",NA,"England, United Kingdom",571
"United Kingdom",2024-07-10,"Nine whooping cough deaths in England as cases rise - BBC.com",NA,"England, United Kingdom",556
"United Kingdom",2024-07-03,"Whooping cough map shows number of cases in your area as two ...",NA,"England, United Kingdom",549
"United Kingdom",2024-06-16,"Fewer babies in Stockport receiving whooping cough vaccine â€“ as ...",NA,"England, United Kingdom",532
"United Kingdom",2024-06-07,"Whooping Cough Kills Eighth Baby As Cases Surge In England - Forbes",NA,"England, United Kingdom",523
"United Kingdom",2024-05-30,"Whooping cough: Number of Basingstoke cases revealed - Basingstoke ...",NA,"England, United Kingdom",515
"United Kingdom",2024-05-21,"Fewer babies in Bedford receiving whooping cough vaccine â€“ as cases ...",NA,"England, United Kingdom",506
"United Kingdom",2024-05-13,"All of the whooping cough cases in Cambridgeshire as five babies die ...",NA,"England, United Kingdom",498
"United Kingdom",2024-05-09,"Whooping cough: five babies in England die after diagnosis, say ...",NA,"England, United Kingdom",494
"United Kingdom",2024-04-30,"Covid and whooping cough jabs plea across Wolverhampton - BBC.com",NA,"England, United Kingdom",485
"United Kingdom",2024-04-23,"Lincolnshire parents warned about 'worrying' rise in whooping cough ...",NA,"England, United Kingdom",478
"United Kingdom",2024-04-04,"Vaccine rate fall leads to whooping cough resurgence in England - ...",NA,"England, United Kingdom",459
"United Kingdom",2024-03-17,"Map shows suspected cases of whooping cough in Surrey as infection ...",NA,"England, United Kingdom",441
"United Kingdom",2024-01-26,"When its time to call 999 if suffering with whooping cough - ...",NA,"England, United Kingdom",390
"United Kingdom",2023-11-14,"Prenatal pertussis vaccination coverage in England from April to ... ...",NA,"England, United Kingdom",317
"United Kingdom",2023-08-17,"Prenatal pertussis vaccination coverage in England from January to ...",NA,"England, United Kingdom",228
"United Kingdom",2023-07-06,"Laboratory confirmed cases of pertussis in England: July to ... - ...",NA,"England, United Kingdom",186
"United Kingdom",2023-06-02,"Warning over whooping cough outbreak in Salford - Manchester Evening ...",NA,"England, United Kingdom",152
"United Kingdom",2025-08-28,"Laboratory confirmed cases of pertussis in England: April to June ...",NA,"United Kingdom",970
"United Kingdom",2024-08-12,"What is â€˜Whooping Coughâ€™ which has killed several infants in UK? ...",NA,"United Kingdom",589
"United Kingdom",2024-08-08,"BREAKING: Baby dies from whooping cough as UK death toll reaches 10 ...",NA,"United Kingdom",585
"United Kingdom",2024-07-15,"Whooping cough cases mapped as infections rise and warning issued - ...",NA,"United Kingdom",561
"United Kingdom",2024-07-12,"Whooping cough outbreak continues to spread in UK, killing nine ...",NA,"United Kingdom",558
"United Kingdom",2024-07-12,"Whooping cough outbreak continues to spread in UK, 9 babies die - ...",NA,"United Kingdom",558
"United Kingdom",2024-07-11,"Eight babies die from whooping cough infection this year as bacteria ...",NA,"United Kingdom",557
"United Kingdom",2024-07-02,"UK to switch to non-polio containing pertussis vaccine for pregnant ...",NA,"United Kingdom",548
"United Kingdom",2024-06-06,"UK whooping cough death toll rises to 8, people urged to get vaccines ...",NA,"United Kingdom",522
"United Kingdom",2024-05-24,"Five-week-old baby dies from whooping cough as UK cases surge - Lancs ...",NA,"United Kingdom",509
"United Kingdom",2024-05-13,"Return of masks and three-week isolation for infected schoolkids as ...",NA,"United Kingdom",498
"United Kingdom",2024-05-09,"UK Sees Persistent Rise in Whooping Cough Cases - Mirage News",NA,"United Kingdom",494
"United Kingdom",2024-04-05,"UK facing whooping cough horror as health experts warn case numbers ...",NA,"United Kingdom",460
"United Kingdom",2024-03-08,"Whooping cough: UK cases soar as fears grow over vaccine - GB News",NA,"United Kingdom",432
"United Kingdom",2024-01-31,"Whooping cough: Pharmacist shares warning signs as UK cases soar - ...",NA,"United Kingdom",395
"United Kingdom",2023-12-07,"Exploring the Impact of DPT Vaccination on Pertussis Cases in the UK ...",NA,"United Kingdom",340
"United Kingdom",2023-12-07,"Cases of whooping cough surged by 250% in the UK in one year | China ...",NA,"United Kingdom",340
"United Kingdom",2023-12-05,"Signs and symptoms of whooping cough sweeping through UK - Lancashire ...",NA,"United Kingdom",338
"United Kingdom",2023-10-16,"Pertussis in adults aged 50 and older costs UK about $290 million ... ...",NA,"United Kingdom",288
"Mexico",2025-08-18,"No new confirmed cases of measles, dengue, or whooping cough; ...",NA,"Estado de Coahuila, Mexico",960
"Mexico",2025-05-22,"The whooping cough alert continues in Coahuila. How many cases have ...",NA,"Estado de Coahuila, Mexico",872
"Mexico",2025-05-16,"Coahuila reports 46 cases of whooping cough and two deaths - Route 135",NA,"Estado de Coahuila, Mexico",866
"Mexico",2025-05-11,"Coahuila: 4 deaths from whooping cough; vaccines confirmed to be ...",NA,"Estado de Coahuila, Mexico",861
"Mexico",2025-05-05,"Whooping Cough Detected in a Little Girl, and Case of Lack of Care ...",NA,"Estado de Coahuila, Mexico",855
"Mexico",2025-04-30,"Monclova is free of whooping cough, confirms the Coahuila Health ...",NA,"Estado de Coahuila, Mexico",850
"United States",2025-08-15,"Whooping cough case confirmed in eastern North Carolina - Public ...",NA,"North Carolina, United States",957
"United States",2025-07-19,"First adult whooping cough case in Haywood County confirmed - Yahoo.co",NA,"North Carolina, United States",930
"United States",2025-07-19,"First adult whooping cough case in Haywood County confirmed - ...",NA,"North Carolina, United States",930
"United States",2025-07-19,"First adult whooping cough case in Haywood County confirmed - Yahoo ...",NA,"North Carolina, United States",930
"United States",2025-07-09,"Multiple whooping cough cases confirmed in Haywood County - WLOS",NA,"North Carolina, United States",920
"United States",2025-07-09,"Five cases of whooping cough confirmed in Haywood County - Yahoo",NA,"North Carolina, United States",920
"United States",2025-03-07,"Case of whooping cough reported at Raleigh middle school - CBS17.com",NA,"North Carolina, United States",796
"United States",2024-06-10,"Whooping cough continues its creep across Western North Carolina - ...",NA,"North Carolina, United States",526
"United States",2024-05-29,"Officials urge for vaccinations as whooping cough spreads through NC ...",NA,"North Carolina, United States",514
"United States",2024-04-26,"Whooping cough outbreak reported in North Carolina - WGHP FOX8 ...",NA,"North Carolina, United States",481
"United States",2025-08-12,"Pertussis cases on the rise with 203 cases identified as of July 31 - ...",NA,"Hawaii, United States",954
"United States",2025-08-12,"Kauaʻi records the highest number of cases of whooping cough as of ...",NA,"Hawaii, United States",954
"United States",2025-08-12,"DOH: Whooping cough cases more than double - West Hawaii Today",NA,"Hawaii, United States",954
"United States",2025-05-22,"US vacation hotspot hit by 'worrying' rise in killer Victorian-era ...",NA,"Hawaii, United States",872
"United States",2025-05-22,"Whooping cough cases surge in Hawaii - Hawaii News Now",NA,"Hawaii, United States",872
"United States",2025-05-22,"Hawaii pertussis cases are on the rise - Honolulu Star-Advertiser",NA,"Hawaii, United States",872
"United States",2024-04-24,"State reports another whooping cough on Hawaii island - Honolulu ...",NA,"Hawaii, United States",479
"United States",2024-04-09,"DOH investigating 2 whooping cough cases on Hawaii Island - Hawaii ...",NA,"Hawaii, United States",464
"United States",2024-02-14,"Whooping Cough Outbreak Strikes Unvaccinated Family in Hawaii - BNN ...",NA,"Hawaii, United States",409
"Mexico",2025-08-08,"Mayor of Hopelchén denies measles outbreak and claims 'active ...",NA,"Estado de Tamaulipas, Mexico",950
"United States",2025-07-31,"Statewide pertussis epidemic worries health officials - Methow Valley ...",NA,"Washington, United States",942
"Republic of Macedonia (FYROM)",2025-07-29,"Six new cases of pertussis are hospitalized, a total of 746 patients ...",NA,"Republic of Macedonia (FYROM)",940
"Republic of Macedonia (FYROM)",2025-01-17,"Two cases of whooping cough recorded in the last seven days in ...",NA,"Republic of Macedonia (FYROM)",747
"Republic of Macedonia (FYROM)",2024-09-10,"Twenty-five new cases of whooping cough in a week in North Macedonia, ...",NA,"Republic of Macedonia (FYROM)",618
"United States",2025-07-10,"Public Health Officials Warn of Rising Cases of Whooping Cough, ...",NA,"Michigan, United States",921
"United States",2025-06-05,"Michigan reports 497 pertussis cases in 2025 - 9&10 News",NA,"Michigan, United States",886
"United States",2024-12-15,"Alarming Rise in Whooping Cough Cases in Michigan as Vaccine Rates - ...",NA,"Michigan, United States",714
"United States",2024-11-13,"Michigan residents warned about increase in pertussis cases - Gladwin ...",NA,"Michigan, United States",682
"United States",2024-10-24,"Whooping cough comes â€˜roaring backâ€™ with 100-plus cases in ...",NA,"Michigan, United States",662
"United States",2024-09-23,"Whooping Cough On The Rise In MI: What To Know About Pertussis - Patch",NA,"Michigan, United States",631
"United States",2024-06-21,"In Michigan, cases of whooping cough hint at post-pandemic comeback - ...",NA,"Michigan, United States",537
"United States",2024-06-13,"Reports of Pertussis (Whooping Cough) Increasing in Washtenaw County ...",NA,"Michigan, United States",529
"Honduras",2025-06-18,"Honduras faces measles alert, dengue deaths, and whooping cough cases ...",NA,"Honduras",899
"Honduras",2025-05-15,"Health Department reports increase in whooping cough cases in ...",NA,"Honduras",865
"Honduras",2025-05-07,"Three cases of whooping cough and one death confirmed in Honduras so ...",NA,"Honduras",857
"Russia",2025-06-09,"Measles, whooping cough and rubella are spreading in Russia because ...",NA,"Russia",890
"Russia",2025-06-09,"Measles and whooping cough are back: in Russia outbreaks in dozens of ...",NA,"Russia",890
"Colombia",2025-06-07,"The keys to the whooping cough outbreak in Mexico - EL PA S",NA,"Colombia",888
"Colombia",2025-05-29,"Whooping cough outbreak at Marinilla school triggers health alert - ...",NA,"Colombia",879
"Colombia",2025-05-29,"Mexico records 978 confirmed cases of whooping cough and 51 deaths of ...",NA,"Colombia",879
"Colombia",2025-05-22,"Whooping cough in Colombia: what it is, who it affects, and how to ...",NA,"Colombia",872
"Colombia",2025-05-21,"Cartagena reports seven confirmed cases of whooping cough: these are ...",NA,"Colombia",871
"Colombia",2025-05-18,"Alert in BogotÃ¡ due to increase in whooping cough cases: authorities ...",NA,"Colombia",868
"Colombia",2025-05-14,"BogotÃ¡ issues alert due to increase in whooping cough cases: more ...",NA,"Colombia",864
"Colombia",2025-01-09,"Antioquia works to contain possible outbreak of whooping cough in ...",NA,"Colombia",739
"Colombia",2025-01-03,"Authorities in Antioquia control whooping cough outbreak that ...",NA,"Colombia",733
"Colombia",2024-12-30,"Antioquia Governorate provides recommendations regarding possible ...",NA,"Colombia",729
"Angola",2025-06-04,"Evaluate African countries situation and confrontation with cholera ...",NA,"Angola",885
"Ecuador",2025-05-29,"Ecuador records 6 deaths from yellow fever and 23 from whooping cough ...",NA,"Ecuador",879
"Ecuador",2025-05-09,"Eleven deaths from whooping cough confirmed in Ecuador, several of ...",NA,"Ecuador",859
"Ecuador",2025-05-09,"Eleven deaths from whooping cough confirmed in Ecuador, several of ...",NA,"Ecuador",859
"Ecuador",2025-06-01,"Whooping cough, a virus on the rise in infections and deaths in ...",NA,"Ecuador",882
"Ecuador",2025-06-01,"Ecuador records 1,366 cases of whooping cough - El Comercio",NA,"Ecuador",882
"Ecuador",2025-05-29,"Chimborazo resumes in-person classes under strict protocols after ...",NA,"Ecuador",879
"Ecuador",2025-05-26,"Chimborazo on orange alert for whooping cough outbreak: 42 cases ...",NA,"Ecuador",876
"Ecuador",2025-05-21,"In-person classes suspended in four cantons of this province due to a ...",NA,"Ecuador",871
"Ecuador",2025-05-20,"Classes suspended in four cantons of Riobamba due to whooping cough ...",NA,"Ecuador",870
"Ecuador",2025-05-06,"Ecuador reports largest whooping cough outbreak in 25 years: ...",NA,"Ecuador",856
"Ecuador",2025-04-29,"Possible case of whooping cough in a child under 13 is being ...",NA,"Ecuador",849
"Argentina",2025-06-02,"Whooping cough in Peru: Does the Ministry of Health rule out class ...",NA,"Argentina",883
"Argentina",2025-05-28,"Peru records highest peak of whooping cough cases in the last six ...",NA,"Argentina",878
"Argentina",2025-05-28,"Health Minister laments deaths from whooping cough outbreak, says ...",NA,"Argentina",878
"Argentina",2025-05-27,"National Center for Epidemiology reports 642 confirmed cases of ...",NA,"Argentina",877
"Argentina",2025-05-20,"Alerta en Lambayeque por primer caso de tos ferina: bebé de dos meses ...",NA,"Argentina",870
"Argentina",2025-04-23,"Faced with the rise in measles and whooping cough, Monreal urges the ...",NA,"Argentina",843
"Mexico",2025-06-01,"Chihuahua has recorded 107 cases of whooping cough so far in 2025; ...",NA,"Estado de Chihuahua, Mexico",882
"Mexico",2025-05-30,"No new cases of measles in Delicias during May - El Sol de MÃ©xico",NA,"Estado de Chihuahua, Mexico",880
"Mexico",2025-05-24,"In Mexico, 51 babies have died from whooping cough during 2025 - ...",NA,"Estado de Chihuahua, Mexico",874
"Mexico",2025-05-23,"23 cases of whooping cough and one of measles confirmed in QuerÃ©taro ...",NA,"Estado de Chihuahua, Mexico",873
"Mexico",2025-05-09,"94 cases of whooping cough confirmed in Chihuahua, with five deaths - ...",NA,"Estado de Chihuahua, Mexico",859
"Mexico",2025-05-04,"Whooping cough cases are on the rise in JuÃ¡rez; children under one ...",NA,"Estado de Chihuahua, Mexico",854
"Spain",2025-05-31,"Whooping cough cases in Piura rise to 10 - noticiaspiura30.pe",NA,"Spain",881
"Spain",2024-06-17,"Alert for a whooping cough epidemic in Europe: Extremadura registers ...",NA,"Spain",533
"Spain",2024-06-14,"Increase of pertussis cases in the Vall  s region, Catalonia, ...",NA,"Spain",530
"Spain",2024-03-30,"Baby dies of whooping cough in Spain: Health experts warn cases are ...",NA,"Spain",454
"Spain",2024-03-11,"Whooping cough outbreak hits Murcia Â« Euro Weekly News - Euro Weekly ...",NA,"Spain",435
"Mexico",2025-05-30,"People are urged not to let their guard down against whooping cough; ...",NA,"Estado de Morelos, Mexico",880
"Mexico",2025-05-29,"Health authorities urge people to continue protecting themselves from ...",NA,"Estado de Morelos, Mexico",879
"Mexico",2025-05-15,"Morelos is among the states with the most cases of whooping cough - ...",NA,"Estado de Morelos, Mexico",865
"Mexico",2025-04-29,"Morelos reports 30 cases of whooping cough amid national outbreak - ...",NA,"Estado de Morelos, Mexico",849
"Peru",2025-05-30,"Health alert in Lambayeque? Whooping cough cases on the rise - Soltv ...",NA,"Peru",880
"Peru",2025-05-30,"Child dies of whooping cough in Lima, and Ministry of Health declares ...",NA,"Peru",880
"Peru",2025-05-29,"The Ministry of Health reports the death of a minor from whooping ...",NA,"Peru",879
"Peru",2025-05-29,"Moquegua has no cases of whooping cough, but remains on alert - La ...",NA,"Peru",879
"Peru",2025-05-27,"Alert in Chiclayo: Second confirmed case of whooping cough - Soltv ...",NA,"Peru",877
"Peru",2025-05-27,"Whooping cough: Minister confirms 408 cases, 10 deaths, and urges ...",NA,"Peru",877
"Peru",2025-05-23,"Alert in Tumbes! Suspected cases of whooping cough detected and ...",NA,"Peru",873
"Peru",2025-05-21,"Minsa activa cerco epidemiológico en Lambayeque por caso de tos ...",NA,"Peru",871
"Peru",2025-05-21,"Detectan primer caso de tos ferina en Lambayeque - Exitosa Noticias",NA,"Peru",871
"Peru",2025-05-20,"Alerta en Lambayeque por primer caso de tos ferina: bebé de dos meses ...",NA,"Peru",870
"Peru",2025-05-07,"Peru on the alert over rising whooping cough cases: 596 cases ...",NA,"Peru",857
"Peru",2025-05-03,"Arequipa on alert: up to seven cases of whooping cough confirmed in ...",NA,"Peru",853
"Mexico",2025-05-29,"The Ministry of Health confirms two cases of whooping cough in ...",NA,"Estado de Nayarit, Mexico",879
"Israel",2025-05-29,"Health alert in Cartagena due to increase in whooping cough cases - ...",NA,"Israel",879
"Israel",2024-08-06,"Researcher warns of whooping cough spike as disease spreads ...",NA,"Israel",583
"Israel",2024-02-04,"Whooping cough outbreak in Israel; go get vaccinated! - Ynetnews",NA,"Israel",399
"Israel",2024-01-05,"Jerusalem baby dies of whooping cough, mother not vaccinated - The ...",NA,"Israel",369
"Israel",2023-07-14,"Whooping cough outbreak spreads to north with new case in town near ...",NA,"Israel",194
"Israel",2023-06-21,"Israel: Elevated pertussis activity reported in multiple areas ... - ...",NA,"Israel",171
"Israel",2023-06-05,"10-week-old infant in Jerusalem dies of whooping cough - The Times of ...",NA,"Israel",155
"Israel",2023-06-01,"Cases of whooping cough spike among children in Haredi Jerusalem ...",NA,"Israel",151
"China",2025-05-24,"Mutant bacteria found on China's Tiangong space station - Azteca ...",NA,"China",874
"China",2025-05-20,"China News Healthä¸¨The national pertussis epidemic is stable, and ...",NA,"China",870
"China",2024-11-12,"South Korea's first whooping cough death - China News",NA,"China",681
"China",2024-07-12,"Whooping cough outbreak continues to spread in UK, killing nine ...",NA,"China",558
"China",2024-06-03,"Chinaâ€™s Whooping Cough Epidemic Dramatically Worsens - Caixin Global",NA,"China",519
"China",2024-04-10,"Whooping Cough Is Surging in China With More Than a Dozen Deaths - ...",NA,"China",465
"China",2023-11-13,"Impact of outdoor air pollution on the incidence of pertussis in ...",NA,"China",316
"China",2023-05-03,"Whooping cough, which causes pneumonia, encephalitis and convulsions, ...",NA,"China",122
"Mexico",2025-05-24,"Mutant bacteria found on China's Tiangong space station - Azteca ...",NA,"Estado de Aguascalientes, Mexico",874
"Mexico",2025-05-01,"Aguascalientes Leads Nationwide in Whooping Cough Cases; 3 Deaths ...",NA,"Estado de Aguascalientes, Mexico",851
"Armenia",2025-05-23,"There are no cases of whooping cough or yellow fever in Armenia - El ...",NA,"Armenia",873
"Armenia",2025-05-23,"Armenia has no reported cases of whooping cough or yellow fever.",NA,"Armenia",873
"United States",2025-05-22,"Vintage High students, staff possibly exposed to pertussis since ...",NA,"San Francisco, California, United States",872
"United States",2024-04-12,"Health experts eye newly reported cases of whooping cough in San ...",NA,"San Francisco, California, United States",467
"China",2025-05-20,"The number of reported cases has dropped by more than 80% compared ...",NA,"Jinan, Shandong Province, China",870
"United States",2025-05-20,"Case of whooping cough confirmed at Del Valle Elementary School - KVUE",NA,"Delaware, United States",870
"United States",2025-04-16,"APH confirms case of whooping cough at Del Valle High School - KVUE",NA,"Delaware, United States",836
"United States",2025-05-19,"Whooping cough causing concern in Washington state - KOIN.com",NA,"Washington State, United States",869
"United States",2025-03-01,"Flu, whooping cough in full force as dual outbreaks spread in Spokane ...",NA,"Washington State, United States",790
"United States",2025-02-11,"Whooping cough outbreak confirmed in Spokane County - NBC Right Now",NA,"Washington State, United States",772
"United States",2025-02-05,"First whooping cough death in Washington state since 2011 confirmed ...",NA,"Washington State, United States",766
"United States",2025-01-10,"Whooping cough case confirmed in Walla Walla - AppleValleyNewsNow.com",NA,"Washington State, United States",740
"United States",2024-12-05,"Highly contagious whooping cough soaring in Washington state, ...",NA,"Washington State, United States",704
"United States",2024-11-12,"Whooping cough outbreak declared in Spokane County - KXLY Spokane",NA,"Washington State, United States",681
"United States",2024-11-08,"Whooping cough outbreak spreads to 31 counties across Washington - ...",NA,"Washington State, United States",677
"United States",2024-10-25,"Whooping cough increasing in Whatcom County; five cases since Oct. 21 ...",NA,"Washington State, United States",663
"United States",2024-10-17,"Washington State University faces a pertussis outbreak. - The Inlander",NA,"Washington State, United States",655
"United States",2024-10-01,"Washington State University reports increase in whooping cough cases ...",NA,"Washington State, United States",639
"United States",2024-08-20,"Whooping cough case confirmed in Walla Walla County - Walla Walla ...",NA,"Washington State, United States",597
"United States",2024-05-31,"Whooping cough is on the rise in Washington state | 1170 KPUG-AM - ...",NA,"Washington State, United States",516
"United States",2024-03-26,"58 cases of whooping cough confirmed in Chelan and Douglas counties - ...",NA,"Washington State, United States",450
"United States",2024-02-23,"Molecular Epidemiology of the Pertussis Epidemic in Washington State ...",NA,"Washington State, United States",418
"Samoa",2025-05-18,"Whooping cough outbreak in Samoa lifted after decline in cases - ...",NA,"Samoa",868
"Samoa",2025-02-02,"NZ donates 6000 doses of Boostrix vaccine to Samoa to fight whooping ...",NA,"Samoa",763
"Samoa",2025-01-07,"Samoa whooping cough - suspected and confirmed cases reach 286 - RNZ",NA,"Samoa",737
"Samoa",2024-12-26,"Whooping cough: Samoa waits for more test results from New Zealand - ...",NA,"Samoa",725
"Samoa",2024-12-18,"Whooping cough: suspected and confirmed cases pass 100 in Samoa - RNZ",NA,"Samoa",717
"Samoa",2024-11-24,"Whooping cough confirmed in Samoa - RNZ",NA,"Samoa",693
"Mexico",2025-05-17,"21 cases of whooping cough in QuerÃ©taro - AlertaQro - QuerÃ©taro News",NA,"Estado de QuerÃ©taro, Mexico",867
"Mexico",2025-05-16,"San Luis PotosÃ­ has accumulated 13 confirmed cases of whooping cough ...",NA,"Estado de San Luis PotosÃ­, Mexico",866
"Mexico",2025-05-13,"Whooping cough outbreak grows in Campeche; 4 more cases in just one ...",NA,"Estado de Campeche, Mexico",863
"Mexico",2025-05-13,"There are 881 cases and two deaths from whooping cough in Mexico - MSN",NA,"Mexico",863
"Mexico",2025-05-06,"Whooping cough deaths reach 49 in Mexico by 2025 - TV Azteca Puebla",NA,"Mexico",856
"Mexico",2025-04-29,"48 Children Have Died From Whooping Cough in Mexico by 2025: Ministry ...",NA,"Mexico",849
"Mexico",2025-02-27,"Pertussis Cases Surge In Mexico Increasing Health Concerns - Evrim ...",NA,"Mexico",788
"United States",2025-05-06,"Ohio among states seeing more whooping cough - WKBN.com",NA,"Ohio, United States",856
"United States",2025-04-02,"With increasing measles and whooping cough cases, central Ohio doctor ...",NA,"Ohio, United States",822
"United States",2024-12-02,"Doctors encourage vaccines as whooping cough cases increase in ...",NA,"Ohio, United States",701
"United States",2024-10-28,"University of Cincinnati reports whooping cough outbreak - The ...",NA,"Ohio, United States",666
"United States",2023-10-24,"Dayton sees increase of infectious whooping cough cases - WYSO Public ...",NA,"Ohio, United States",296
"United States",2023-10-09,"Kettering schools confirm two whooping cough cases; 20% of total U.S. ...",NA,"Ohio, United States",281
"Mexico",2025-05-09,"Measles and whooping cough cases are on the rise in Sonora; ...",NA,"Estado de Sonora, Mexico",859
"Mexico",2024-12-26,"Alert: Whooping cough cases rise sharply in New Hampshire - El Diario ...",NA,"Estado de Sonora, Mexico",725
"United States",2025-05-07,"Whooping cough hits California hard, 590 cases reported, infants and ...",NA,"California, United States",857
"United States",2025-05-06,"Whooping cough spreads rapidly in California, especially dangerous to ...",NA,"California, United States",856
"United States",2025-05-06,"Whooping cough spreads rapidly in California, especially dangerous to ...",NA,"California, United States",856
"United States",2025-02-06,"DHHS urges vaccines with rise in Humboldt County whooping cough, flu ...",NA,"California, United States",767
"United States",2025-01-15,"Fresno County health officials on alert with whooping cough - ABC30 ...",NA,"California, United States",745
"United States",2025-01-01,"California Focus: Whooping cough is on the rise - Sonoma Index-Tribune",NA,"California, United States",731
"United States",2024-12-27,"California reports 1,000 cases of whooping cough - Telemundo Bay Area",NA,"California, United States",726
"United States",2024-12-12,"Contagious 'whooping cough' spreads to 2 more people in SLO County - ...",NA,"California, United States",711
"United States",2024-10-15,"What are symptoms of whooping cough? Outbreak hits California amid ...",NA,"California, United States",653
"United States",2024-03-28,"Whooping cough sickens 65 in outbreak at Bay Area high school, ...",NA,"California, United States",452
"Mexico",2025-05-07,"Puebla ranks 21st in cases of whooping cough - CrÃ³nica Puebla",NA,"Estado de Puebla, Mexico",857
"Mexico",2025-04-29,"Puebla, with seven confirmed cases of whooping cough and 27 probable ...",NA,"Estado de Puebla, Mexico",849
"Mexico",2025-05-06,"Jalisco has 42 cases and 7 deaths from whooping cough - ...",NA,"Estado de Jalisco, Mexico",856
"Mexico",2025-05-01,"7 Deaths from Whooping Cough in Jalisco - N+",NA,"Estado de Jalisco, Mexico",851
"Dominican Republic",2025-05-06,"Masks are in short supply in Santo Domingo after a whooping cough ...",NA,"Dominican Republic",856
"Dominican Republic",2024-01-18,"Rising whooping cough cases in the Dominican Republic - Dominican ...",NA,"Dominican Republic",382
"Mexico",2025-05-05,"Whooping cough cases increase in Hidalgo; Tizayuca accounts for the ...",NA,"Estado de Hidalgo, Mexico",855
"Canada",2025-05-05,"Whooping cough outbreak declared over in New Brunswick - CTV News",NA,"New Brunswick Province, Canada",855
"Canada",2024-12-19,"Whooping cough outbreak grows in New Brunswick - CTV News Atlantic",NA,"New Brunswick Province, Canada",718
"Canada",2024-09-11,"Confirmed case of whooping cough at Saint John school - ...",NA,"New Brunswick Province, Canada",619
"Canada",2024-08-25,"Whooping cough outbreak on N.B.'s Acadian Penninsula - Yahoo News ...",NA,"New Brunswick Province, Canada",602
"Canada",2024-08-22,"New Brunswick declares whooping cough outbreak across entire province ...",NA,"New Brunswick Province, Canada",599
"Canada",2024-07-24,"New Brunswick whooping cough outbreak grows to 36 - CTV News Atlantic",NA,"New Brunswick Province, Canada",570
"Canada",2024-07-02,"N.B. news: whooping cough outbreak grows to 19 cases | CTV News - CTV ...",NA,"New Brunswick Province, Canada",548
"Canada",2024-06-27,"N.B. news: Whooping cough outbreak declared | CTV News - CTV News ...",NA,"New Brunswick Province, Canada",543
"Canada",2024-05-19,"Whooping cough outbreak in Fredericton region jumps to 22 confirmed ...",NA,"New Brunswick Province, Canada",504
"United States",2025-05-02,"Quick takes: Louisiana pertussis rise, yellow fever in Ecuador, polio ...",NA,"Louisiana, United States",852
"United States",2025-04-13,"Whooping cough kills 2 infants in Louisiana as Texas sees cases rise ...",NA,"Louisiana, United States",833
"United States",2025-04-08,"Whooping cough concerns and advice following LA deaths - KTBS",NA,"Louisiana, United States",828
"United States",2025-04-04,"Whooping Cough Killed Two Children in Louisiana. Hereâ€™s How to ...",NA,"Louisiana, United States",824
"United States",2025-04-02,"Two infants die of whooping cough in Louisiana as cases climb ...",NA,"Louisiana, United States",822
"United States",2025-03-28,"Louisiana Surgeon General shares vaccine info after 2 babies die from ...",NA,"Louisiana, United States",817
"United States",2025-02-25,"Louisiana is seeing an increase in Whooping cough among children, ...",NA,"Louisiana, United States",786
"United States",2024-11-26,"Itâ€™s Here; Shreveport In For Possible New Outbreak of Whooping ...",NA,"Louisiana, United States",695
"United States",2025-05-01,"Pasadena resident tests positive for whooping cough after Kidspace ...",NA,"Los Angeles, California, United States",851
"Mexico",2025-04-29,"Quintana Roo records 6 confirmed cases of whooping cough in 2025 - ...",NA,"Estado de Quintana Roo, Mexico",849
"Mexico",2025-04-29,"Nuevo LeÃ³n has the most cases of whooping cough in Mexico - ...",NA,"Estado de Nuevo LeÃ³n, Mexico",849
"Mexico",2025-04-29,"A two-month-old baby dies from whooping cough; it's the first ...",NA,"Estado de Zacatecas, Mexico",849
"United States",2025-04-28,"Pertussis cases remain stable, but elevated across Virginia, United ...",NA,"Virginia, United States",848
"United States",2025-03-11,"Case of whooping cough found in Washington County, Va. school - WCYB",NA,"Virginia, United States",800
"United States",2025-01-22,"Whooping cough cases on the rise in southwest Virginia, health ...",NA,"Virginia, United States",752
"United States",2024-06-27,"Central Virginia Health District announces increased whooping cough ...",NA,"Virginia, United States",543
"Bermuda [UK]",2025-04-27,"Whooping cough cases in Bermuda spark call for caution - Royal ...",NA,"Bermuda [UK]",847
"Canada",2025-04-24,"Whooping cough outbreak declared in Kugaaruk, Nunavut - CBC",NA,"Nunavut Territory, Canada",844
