"Year","name","value","Country"
2021,"01-04",7,"NZ"
2021,"05-09",2,"NZ"
2021,"10-14",2,"NZ"
2021,"20-29",5,"NZ"
2021,"30-39",5,"NZ"
2021,"40-49",6,"NZ"
2021,"50-59",6,"NZ"
2021,"60-69",2,"NZ"
2021,"70+",7,"NZ"
2020,"00-00",16,"NZ"
2020,"01-04",29,"NZ"
2020,"05-09",15,"NZ"
2020,"10-14",16,"NZ"
2020,"15-19",5,"NZ"
2020,"20-29",19,"NZ"
2020,"30-39",16,"NZ"
2020,"40-49",17,"NZ"
2020,"50-59",24,"NZ"
2020,"60-69",9,"NZ"
2020,"70+",5,"NZ"
2019,"00-00",88,"NZ"
2019,"01-04",168,"NZ"
2019,"05-09",115,"NZ"
2019,"10-14",98,"NZ"
2019,"15-19",70,"NZ"
2019,"20-29",94,"NZ"
2019,"30-39",120,"NZ"
2019,"40-49",154,"NZ"
2019,"50-59",120,"NZ"
2019,"60-69",106,"NZ"
2019,"70+",73,"NZ"
2018,"00-00",184,"NZ"
2018,"01-04",370,"NZ"
2018,"05-09",407,"NZ"
2018,"10-14",306,"NZ"
2018,"15-19",192,"NZ"
2018,"20-29",254,"NZ"
2018,"30-39",296,"NZ"
2018,"40-49",372,"NZ"
2018,"50-59",274,"NZ"
2018,"60-69",163,"NZ"
2018,"70+",134,"NZ"
2017,"00-00",129,"NZ"
2017,"01-04",222,"NZ"
2017,"05-09",295,"NZ"
2017,"10-14",269,"NZ"
2017,"15-19",202,"NZ"
2017,"20-29",151,"NZ"
2017,"30-39",199,"NZ"
2017,"40-49",269,"NZ"
2017,"50-59",198,"NZ"
2017,"60-69",120,"NZ"
2017,"70+",89,"NZ"
2016,"00-00",68,"NZ"
2016,"01-04",109,"NZ"
2016,"05-09",120,"NZ"
2016,"10-14",98,"NZ"
2016,"15-19",91,"NZ"
2016,"20-29",107,"NZ"
2016,"30-39",125,"NZ"
2016,"40-49",157,"NZ"
2016,"50-59",113,"NZ"
2016,"60-69",62,"NZ"
2016,"70+",46,"NZ"
2015,"00-00",90,"NZ"
2015,"01-04",136,"NZ"
2015,"05-09",144,"NZ"
2015,"10-14",123,"NZ"
2015,"15-19",57,"NZ"
2015,"20-29",95,"NZ"
2015,"30-39",106,"NZ"
2015,"40-49",156,"NZ"
2015,"50-59",141,"NZ"
2015,"60-69",73,"NZ"
2015,"70+",47,"NZ"
2015,"00-04",47,"SG"
2015,"05-14",0,"SG"
2015,"15-24",7,"SG"
2015,"25-34",0,"SG"
2015,"35-44",0,"SG"
2015,"45-54",1,"SG"
2015,"55-64",1,"SG"
2015,"65+",0,"SG"
2016,"00-04",44,"SG"
2016,"05-14",7,"SG"
2016,"15-24",21,"SG"
2016,"25-34",1,"SG"
2016,"35-44",0,"SG"
2016,"45-54",2,"SG"
2016,"55-64",2,"SG"
2016,"65+",3,"SG"
2017,"00-04",41,"SG"
2017,"05-14",1,"SG"
2017,"15-24",16,"SG"
2017,"25-34",0,"SG"
2017,"35-44",2,"SG"
2017,"45-54",4,"SG"
2017,"55-64",4,"SG"
2017,"65+",8,"SG"
2018,"00-04",54,"SG"
2018,"05-14",4,"SG"
2018,"15-24",16,"SG"
2018,"25-34",0,"SG"
2018,"35-44",6,"SG"
2018,"45-54",2,"SG"
2018,"55-64",6,"SG"
2018,"65+",17,"SG"
2019,"00-04",26,"SG"
2019,"05-14",10,"SG"
2019,"15-24",0,"SG"
2019,"25-34",1,"SG"
2019,"35-44",1,"SG"
2019,"45-54",0,"SG"
2019,"55-64",10,"SG"
2019,"65+",11,"SG"
2020,"00-04",2,"SG"
2020,"05-14",0,"SG"
2020,"15-24",0,"SG"
2020,"25-34",0,"SG"
2020,"35-44",2,"SG"
2020,"45-54",0,"SG"
2020,"55-64",3,"SG"
2020,"65+",3,"SG"
2022,"00-00",28,"JP"
2022,"1-4",103,"JP"
2022,"5-9",86,"JP"
2022,"10-14",44,"JP"
2022,"15-19",18,"JP"
2022,"20-24",17,"JP"
2022,"25-29",30,"JP"
2022,"30-34",23,"JP"
2022,"35-39",22,"JP"
2022,"40-44",25,"JP"
2022,"45-49",21,"JP"
2022,"50-54",12,"JP"
2022,"55-59",6,"JP"
2022,"60-64",14,"JP"
2022,"65-69",6,"JP"
2022,"70+",36,"JP"
2021,"00-00",30,"JP"
2021,"1-4",175,"JP"
2021,"5-9",113,"JP"
2021,"10-14",56,"JP"
2021,"15-19",31,"JP"
2021,"20-24",40,"JP"
2021,"25-29",47,"JP"
2021,"30-34",45,"JP"
2021,"35-39",34,"JP"
2021,"40-44",40,"JP"
2021,"45-49",20,"JP"
2021,"50-54",18,"JP"
2021,"55-59",17,"JP"
2021,"60-64",12,"JP"
2021,"65-69",5,"JP"
2021,"70+",24,"JP"
2020,"00-00",162,"JP"
2020,"1-4",189,"JP"
2020,"5-9",803,"JP"
2020,"10-14",606,"JP"
2020,"15-19",113,"JP"
2020,"20-24",69,"JP"
2020,"25-29",82,"JP"
2020,"30-34",114,"JP"
2020,"35-39",119,"JP"
2020,"40-44",154,"JP"
2020,"45-49",132,"JP"
